id,dteday,Season,Hour,Holiday,Days,Workdays,Weather,Temp,TempFeeled,Humidity,Windspeed,Casual,Registered,Total User,Suhu
1,2011-01-01,Springer,0,No,Sat,No,Good,9.84,14.395,81.0,0.0,3,13,16,Dingin
2,2011-01-01,Springer,1,No,Sat,No,Good,9.02,13.635,80.0,0.0,8,32,40,Dingin
3,2011-01-01,Springer,2,No,Sat,No,Good,9.02,13.635,80.0,0.0,5,27,32,Dingin
4,2011-01-01,Springer,3,No,Sat,No,Good,9.84,14.395,75.0,0.0,3,10,13,Dingin
5,2011-01-01,Springer,4,No,Sat,No,Good,9.84,14.395,75.0,0.0,0,1,1,Dingin
6,2011-01-01,Springer,5,No,Sat,No,Not Good,9.84,12.879999999999999,75.0,6.0032,0,1,1,Dingin
7,2011-01-01,Springer,6,No,Sat,No,Good,9.02,13.635,80.0,0.0,2,0,2,Dingin
8,2011-01-01,Springer,7,No,Sat,No,Good,8.200000000000001,12.879999999999999,86.0,0.0,1,2,3,Dingin
9,2011-01-01,Springer,8,No,Sat,No,Good,9.84,14.395,75.0,0.0,1,7,8,Dingin
10,2011-01-01,Springer,9,No,Sat,No,Good,13.120000000000001,17.424999999999997,76.0,0.0,8,6,14,Panas
11,2011-01-01,Springer,10,No,Sat,No,Good,15.58,19.695,76.0,16.997899999999998,12,24,36,Panas
12,2011-01-01,Springer,11,No,Sat,No,Good,14.76,16.665,81.0,19.0012,26,30,56,Dingin
13,2011-01-01,Springer,12,No,Sat,No,Good,17.22,21.21,77.0,19.0012,29,55,84,Panas
14,2011-01-01,Springer,13,No,Sat,No,Not Good,18.86,22.725,72.0,19.999499999999998,47,47,94,Panas
15,2011-01-01,Springer,14,No,Sat,No,Not Good,18.86,22.725,72.0,19.0012,35,71,106,Panas
16,2011-01-01,Springer,15,No,Sat,No,Not Good,18.04,21.97,77.0,19.999499999999998,40,70,110,Panas
17,2011-01-01,Springer,16,No,Sat,No,Not Good,17.22,21.21,82.0,19.999499999999998,41,52,93,Panas
18,2011-01-01,Springer,17,No,Sat,No,Not Good,18.04,21.97,82.0,19.0012,15,52,67,Panas
19,2011-01-01,Springer,18,No,Sat,No,Nearly Bad,17.22,21.21,88.0,16.997899999999998,9,26,35,Panas
20,2011-01-01,Springer,19,No,Sat,No,Nearly Bad,17.22,21.21,88.0,16.997899999999998,6,31,37,Panas
21,2011-01-01,Springer,20,No,Sat,No,Not Good,16.400000000000002,20.455000000000002,87.0,16.997899999999998,11,25,36,Panas
22,2011-01-01,Springer,21,No,Sat,No,Not Good,16.400000000000002,20.455000000000002,87.0,12.998000000000001,3,31,34,Panas
23,2011-01-01,Springer,22,No,Sat,No,Not Good,16.400000000000002,20.455000000000002,94.0,15.001299999999999,11,17,28,Panas
24,2011-01-01,Springer,23,No,Sat,No,Not Good,18.86,22.725,88.0,19.999499999999998,15,24,39,Panas
25,2011-01-02,Springer,0,No,Sun,No,Not Good,18.86,22.725,88.0,19.999499999999998,4,13,17,Panas
26,2011-01-02,Springer,1,No,Sun,No,Not Good,18.04,21.97,94.0,16.997899999999998,1,16,17,Panas
